Year, Count, Median Citations, Min Citations, Max Citations
2004, 0, 0, 0, 0
2005, 1, 109.0, 109, 109
2006, 3, 39.0, 8, 428
2007, 6, 494.0, 127, 2383
2008, 7, 103.0, 35, 649
2009, 13, 57.0, 11, 3471
2010, 25, 69.0, 2, 771
2011, 28, 23.5, 0, 924
2012, 39, 25.0, 0, 2464
2013, 36, 44.0, 0, 486
2014, 58, 24.0, 0, 1482
2015, 90, 21.5, 0, 849
2016, 100, 23.5, 0, 695
2017, 99, 16.0, 0, 983
2018, 140, 10.5, 0, 184
2019, 209, 5.0, 0, 159
2020, 278, 0.0, 0, 116
2021, 353, 2.0, 0, 122
