Year, Count, Median Citations, Min Citations, Max Citations
2004, 0, 0, 0, 0
2005, 0, 0, 0, 0
2006, 0, 0, 0, 0
2007, 1, 2383.0, 2383, 2383
2008, 0, 0, 0, 0
2009, 4, 97.5, 33, 3474
2010, 5, 102.0, 4, 848
2011, 9, 71.0, 0, 1038
2012, 6, 32.0, 6, 321
2013, 15, 72.0, 13, 578
2014, 19, 78.0, 0, 391
2015, 28, 37.0, 1, 258
2016, 24, 41.0, 0, 233
2017, 30, 28.0, 0, 403
2018, 40, 9.5, 0, 132
2019, 39, 9.0, 0, 236
2020, 50, 4.0, 0, 326
2021, 66, 3.0, 0, 35
