Year, Count, Median Citations, Min Citations, Max Citations
2004, 0, 0, 0, 0
2005, 2, 1838.5, 0, 3677
2006, 0, 0, 0, 0
2007, 3, 925.0, 0, 2383
2008, 5, 136.0, 1, 3463
2009, 12, 5.5, 0, 3474
2010, 14, 11.5, 0, 848
2011, 23, 6.0, 0, 1038
2012, 27, 8.0, 0, 7956
2013, 37, 13.0, 0, 578
2014, 37, 17.0, 0, 391
2015, 62, 15.5, 0, 1556
2016, 90, 4.0, 0, 233
2017, 89, 6.0, 0, 403
2018, 126, 4.0, 0, 132
2019, 164, 2.0, 0, 243
2020, 236, 1.0, 0, 326
2021, 245, 0.0, 0, 54
