Year, Count, Median Citations, Min Citations, Max Citations
2004, 4, 2765.5, 899, 6760
2005, 6, 76.5, 3, 3675
2006, 11, 39.0, 0, 1503
2007, 18, 34.0, 0, 2383
2008, 21, 15.0, 0, 3463
2009, 44, 16.5, 0, 3471
2010, 53, 20.0, 0, 1243
2011, 83, 5.0, 0, 924
2012, 115, 6.0, 0, 7227
2013, 111, 8.0, 0, 486
2014, 149, 8.0, 0, 1482
2015, 242, 7.0, 0, 879
2016, 301, 3.0, 0, 3317
2017, 322, 4.0, 0, 983
2018, 410, 3.0, 0, 660
2019, 603, 2.0, 0, 159
2020, 773, 0.0, 0, 1639
2021, 926, 1.0, 0, 122
