Year, Count, Median Citations, Min Citations, Max Citations
2004, 0, 0, 0, 0
2005, 1, 109.0, 109, 109
2006, 3, 39.0, 8, 428
2007, 6, 494.0, 127, 2383
2008, 8, 114.0, 35, 649
2009, 13, 57.0, 11, 3474
2010, 26, 59.5, 2, 848
2011, 30, 47.5, 0, 1038
2012, 44, 23.0, 0, 2464
2013, 41, 46.0, 0, 578
2014, 61, 24.0, 0, 1482
2015, 93, 22.0, 0, 849
2016, 113, 20.0, 0, 695
2017, 108, 17.0, 0, 983
2018, 158, 11.0, 0, 184
2019, 232, 6.0, 0, 236
2020, 318, 1.0, 0, 326
2021, 381, 2.0, 0, 122
